1,"Москва, Новгородская Улица 37","г Москва, Широкая Улица 6","Москва, Москва, Юрловский проезд, 14к2","г Москва, Сельскохозяйственная Улица 35","г. Москва, Дубнинская улица, д. 50","Москва, Дмитровское Шоссе 71а","г. Долгопрудный (Московская область), Парковая улица, д. 36","г Мытищи, Улица Семашко 25"
2,г Москва (Россия) Абрамцевская 9к1,"Москва, Широкая Улица 12б","г. Москва, улица Бестужевых, д. 21Б","г Москва, Олонецкая Улица 4","Москва, Москва, Дубнинская улица, 36","Москва, Москва, Дмитровское шоссе, 73Б","г Долгопрудный, Проспект Пацаева 18б","Московская область, Мытищи, улица Веры Волошиной, 9/24"
3,"г Москва, Абрамцевская Улица 7","г Москва, Заревый Проезд 10","г Москва, Улица Римского-Корсакова 14","г. Москва, Берёзовая аллея, д. 17к2","г Москва, Дубнинская Улица 32к9","Москва, Москва, Ильменский проезд, 17к1","Московская область, Долгопрудный, Лихачёвское шоссе, 14к1","г Мытищи, 1-Й Трудовой Переулок 4"
4,"г Москва, Алтуфьевское Шоссе 97",г Москва (Россия) Заревый 9,"г Москва, Улица Римского-Корсакова 11к3","г. Москва, м Владыкино, Отрадный проезд, д. 3","г Москва, Улица 800-Летия Москвы 11к5","Москва, Ильменский Проезд 14к6","г Долгопрудный, Центральная Улица 5","г Мытищи, Трудовая 6"
5,"г. Москва, м Алтуфьево, Алтуфьевское шоссе, д. 102Б","Москва, Заревый Проезд 2","г. Москва, м Отрадное, улица Римского-Корсакова, д. 10","Москва, Берёзовая Аллея 5","Москва, Улица 800-Летия Москвы 18","г. Москва, Дегунинская улица, д. 3к2","г Долгопрудный, Парковая Улица 52к1","г. Мытищи (Московская область), 3-я Крестьянская улица, стр. 23"
6,"г Москва, Алтуфьевское Шоссе 92","г. Москва, проезд Шокальского, д. 31к1",г. Москва Высоковольтный проезд 1к5,"г. Москва, Берёзовая аллея, д. 17к2","г. Москва, улица 800-летия Москвы, д. 26к1","г Москва, Коровинское Шоссе 3к2","Московская область, Долгопрудный, Парковая улица, 50","г. Мытищи (Московская область), 3-я Крестьянская улица, д. 11"
7,"Москва, Череповецкая Улица 15","Москва, Проезд Шокальского 33","Москва, Высоковольтный Проезд 1к3",г Москва улица Ленская д 28,"г Москва, Дмитровское Шоссе 96к1","г Москва, улица Ивана Сусанина 4к5","г. Долгопрудный (Московская область), Гранитный тупик, д. 2","Московская область, Мытищи, улица Веры Волошиной, 46"
8,"г. Москва, Череповецкая улица, д. 24","Москва, Улица Тихомирова 1","г Москва, Алтуфьевское Шоссе 40д",Москва Чукотский проезд 2,"г. Москва, Дмитровское шоссе, д. 94к1",г Москва (Россия) Коровинское ш. 13к1,"г Долгопрудный, Лихачёвское Шоссе 13а","г Мытищи, Улица Веры Волошиной 37"
9,"г Москва, Улица Лескова 6",г. Москва Полярная 30 к 3,"Москва, Улица Декабристов 2к1","Москва, Москва, Енисейская улица, 9А","г Москва, Бескудниковский Бульвар 38к1","Москва, Бескудниковский Бульвар 52к1","г. Долгопрудный (Московская область), Лихачёвское шоссе, д. 1к4",
10,"г Москва, Шенкурский Проезд 11","Москва, Улица Молодцова 6","г Москва, Улица Декабристов 2к3","г. Москва, м Свиблово, Вересковая улица, д. 1к1","Москва, Бескудниковский Проезд 4к2","г Москва, Улица Ивана Сусанина 8к1","г Долгопрудный, Новый Бульвар 22",
11,Москва Алтуфьевское шоссе 89,"Москва, Улица Молодцова 2к1","г Москва, Улица Декабристов 15а","г Москва, Проезд Русанова 31","Москва, Москва, Керамический проезд, 51к2","г Москва, Бескудниковский Бульвар 58к2","г Долгопрудный, Новый Бульвар 18",
12,"г Москва, Абрамцевская Улица 10","Москва, Сухонская Улица 11","г. Москва, м. Отрадное, ул. Каргопольская, 18 стр. 1","Москва, Снежная Улица 19к2","г Москва, Дубнинская Улица 53к3","Москва, Улица 800-Летия Москвы 4к2","г Долгопрудный, Лихачёвский Проспект 76к1",
13,"г Москва, Улица Лескова 10в","г Москва, Сухонская Улица 7","г. Москва, м Отрадное, Алтуфьевское шоссе, д. 28","г Москва, Берингов Проезд 3","г Москва, Бескудниковский Бульвар 29к1","Москва, Москва, Дмитровское шоссе, 107к2","Долгопрудный, Новый Бульвар 21",
14,г Москва (Россия) Абрамцевская 1,"г Москва, Полярная Улица 27к2",Москва Алтуфьевское шоссе 22Б,"Москва, Улица Амундсена 14","Москва, Бескудниковский Бульвар 32к5","Москва, Дмитровское Шоссе 107ак1","г. Долгопрудный (Московская область), ул. Спортивная улица, д. 9",
15,"Москва, Москва, Новгородская улица, 5к1","г Москва, Полярная Улица 27к4","г Москва, Каргопольская Улица 14к2",г. Москва Амундсена 11к1,"Москва, Бескудниковский Бульвар 30к3","г Москва, Дмитровское Шоссе 107ак3","г. Долгопрудный (Московская область), проспект Пацаева, д. 7к10",
16,"г Москва, Шенкурский Проезд 11","г Москва, улица Молодцова 21","г Москва, Северный Бульвар 2","Москва, Улица Амундсена 15к2",Москва Рогачёвский переулок 4к1,"Москва, Москва, Дмитровское шоссе, 107к4","Долгопрудный, Улица Академика Лаврентьева 9",
17,"г Москва, Алтуфьевское Шоссе 85","Москва, Ясный Проезд 26к1","Москва, Улица Декабристов 20к1","Москва, улица Седова, 13к1","г Москва, Бескудниковский Бульвар 21к2","Москва, Яхромская Улица 2","г Долгопрудный (Московская область), Дирижабельная улица, 15А",
18,"Москва, Москва, Мурановская улица, 7","Москва, Улица Молодцова 19к2","Москва, Улица Декабристов 20к2","г Москва, Улица Седова 3","г Москва, Селигерская Улица 12к2","Москва, Дмитровское Шоссе 113к1","г Долгопрудный, Новый Бульвар 5",
19,"г Москва, Улица Корнейчука 16","г Москва, Улица Молодцова 27к3","Москва, Отрадная Улица 2","г. Москва, м Свиблово, Снежная улица, д. 16 к 1",Москва Бескудниковский бульвар 13,"г. Москва, Яхромская улица, д. 3","г. Долгопрудный (Московская область), Первомайская улица, д. 52",
20,г. Москва Белозерская 17г,"Москва, Москва, Ясный проезд, 32","Москва, Проезд Якушкина 10","Москва, Проезд Серебрякова 11к1",г. Москва Дмитровское ш. 74к1,"г. Москва, Лобненская улица, д. 5","г Долгопрудный, Московское Шоссе 6а",
21,"г. Москва, улица Корнейчука, д. 36","г. Москва, м. Бабушкинская, проезд. Ясный, 19 стр. 2","г Москва, Улица Декабристов 38к1","Москва, Улица Амундсена 3к3","г Москва, Дмитровское Шоссе 68","г Москва, Карельский Бульвар 4а","г. Долгопрудный (Московская область), Советская улица, д. 9",
22,"Москва, Улица Лескова 19ас2","г Москва, Полярная Улица 13к2","г Москва, Отрадная Улица 16","Москва, Радужная Улица 26","Москва, Дубнинская Улица 37к1","Москва, Клязьминская Улица 32к2","г Долгопрудный, Проспект Ракетостроителей 9к1",
23,"Москва, Улица Корнейчука 46","г Москва, Ясный Проезд 14","Москва, Отрадная Улица 20","г Москва, Верхоянская Улица 6к1","г Москва, Дубнинская Улица 27к1","г. Москва, м. Алтуфьево, ул. Клязьминская, 15","Долгопрудный Московская область, городской округ Долгопрудный проспект Ракетостроителей 7к1",
24,"Москва, Улица Корнейчука 47","г Москва, Ясный Проезд 12к2","Москва, Москва, жилой комплекс Грин Парк, 6","г Москва, Радужная Улица 4к1","Москва, Бескудниковский Бульвар 6к4","Москва, Москва, Ангарская улица, 67к3","г Москва, Бульвар Космонавта Сереброва А.А. 2",
25,Москва улица Корнейчука 53,,,"г. Москва, м. Бабушкинская, ул. Лётчика Бабушкина, 6","г Москва, Дубнинская Улица 17к1","г Москва, Клязьминская Улица 8к2","г Долгопрудный, Проспект Ракетостроителей 5",
26,"г Москва, Улица Конёнкова 19",,,,"г Москва, Дубнинская Улица 13","Москва, Базовская Улица 17","Долгопрудный, Проспект Ракетостроителей 5к1",
27,"г. Москва, м. Бибирево, ул. Пришвина, 3Г",,,,"г Москва, Бескудниковский Бульвар 6к2",,"г Долгопрудный, Лихачёвский Проспект 70к3",
28,"г. Москва, м Бибирево, улица Пришвина, д. 13",,,,"г. Москва, м. Петровско-Разумовская, ул. Дубнинская, 1",,"г Долгопрудный, Лихачёвский Проспект 68к1",
29,"г Москва, Улица Конёнкова 6а",,,,"г. Москва, Дубнинская улица, д. 14к2",,"г. Долгопрудный (Московская область), проспект Ракетостроителей, д. 1к1",
30,"Москва, Москва, улица Плещеева, 7",,,,"г. Москва, Керамический проезд, д. 47к1",,,
31,"Москва, Улица Плещеева 8",,,,,,,
32,"г. Москва, улица Пришвина, д. 23",,,,,,,
33,"г Москва, Костромская Улица 14б",,,,,,,
34,"г Москва, Бибиревская Улица 4а",,,,,,,
35,"г Москва, Бибиревская Улица 7к2",,,,,,,
36,"г. Москва, м Бибирево, Алтуфьевское шоссе, д. 64",,,,,,,
37,"г Москва, Алтуфьевское Шоссе 56",,,,,,,
